grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2023/275,DMD,Kosovo,General Directorate of Kosovo Police,General Directorate of Kosovo Police,"JO Focal Points, JO Terra 2023",19897.719999999998,2023,Other joint operations,Deployment Management Division
2023/346,DMD,Kosovo,General Directorate of Kosovo Police,General Directorate of Kosovo Police,"JO Focal Points Air 2023, JO Terra 2023",31372.4,2023,Focal Points (Air),Deployment Management Division
2022/305,DMD,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina , Republic of Kosovo",Joint Operations Focal Points Air 2022,9285.46,2022,Focal Points (Air),Deployment Management Division
2022/334,DMD,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina , Republic of Kosovo",Joint Operations Focal Points Air 2022,10826.26,2022,Focal Points (Air),Deployment Management Division
2021/210,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina , Republic ofKosovo",2021/FDU/01 Multipurpose Operational Activities LAND,9352.87,2021,Multipurpose Operational Activities LAND,Field Deployment Unit
2021/270,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina , Republic ofKosovo",2021/FDU/01 Human Resources and light technical equipment,17803.73,2021,Technical Equipment & Human Resources,Field Deployment Unit
2019/88,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,6367.57,2019,Human Resources,Field Deployment Unit
2019/117,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,20521.53,2019,Human Resources,Field Deployment Unit
2019/138,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,45735.01,2019,Human Resources,Field Deployment Unit
2019/177,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,15235.73,2019,Human Resources,Field Deployment Unit
2019/206,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,16491.91,2019,Human Resources,Field Deployment Unit
2019/219,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,17381.08,2019,Human Resources,Field Deployment Unit
2019/258,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,8450.86,2019,Human Resources,Field Deployment Unit
2019/308,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,8129.86,2019,Human Resources,Field Deployment Unit
2019/312,FDU,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n  -  10000 Pristina ,Republic of Kosovo",2019/FDU/01 Human Resources,16475.86,2019,Human Resources,Field Deployment Unit
2018/115,ORD,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n10000 Pristina , Republicof Kosovo",2018/ORD/01 Human Resources,3138.31,2018,Human Resources,Operational Response Division
2018/117,ORD,Kosovo,General Directorate of Kosovo Police,"'Luan Haradinaj'' str. p.n10000 Pristina , Republicof Kosovo",2018/ORD/01 Human Resources,10127.55,2018,Human Resources,Operational Response Division
