grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/23,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2024/ECRET/01,223457.65,2024,European Centre for Returns,European Centre for Returns
2024/63,DMD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2024/DMD/01 Human resources and Light technical equipment,1818206,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/65,DMD,Netherlands,Immigration and Naturalisation Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 16275, 2500 BG The Hague, The Netherlands",2024/DMD/01 Human resources and Light technical equipment,168308,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/84,DMD,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2024/DMD/01 Human resources and Light technical equipment,332082,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/93,DMD,Netherlands,"Transport and Support Service, Ministry for Security and Justice",Turfmarkt 147 | 2511 DP | Den Haag,2024/DMD/01 Human resources and Light technical equipment,645933,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/94,DMD,Netherlands,National Police,"Nieuwe Uitleg 1, 2514 BP Den Haag",2024/DMD/01 Human resources and Light technical equipment,460100,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/120,ECRET,Netherlands,Repatriation and Departure Service,"Rijnstraat 8, 2515 XP The Hague, The Netherlands, P.O. Box 164, 2501 CD, The Hague, The Netherlands",2024/ECRET/01,9842,2024,European Centre for Returns,European Centre for Returns
2024/164,DMD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34, 3712 BR Huis Ter Heide, The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1796985.12,2024,Human Resources,Deployment Management Division
2024/264,OSD,Netherlands,Royal Marechaussee,"NFPOC (The Netherlands)
Camp New Amsterdam
Dolderseweg 34
3712 BR Huis Ter Heide 
The Netherlands","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",1775267.98,2024,Human Resources,Operational Support Division
2024/276,OSD,Netherlands,Royal Marechaussee,"P.O. Box 90615
2509 LP The Hague",2024/FOU/01/Heavy Technical Equipment,143299,2024,Technical Equipment,Operational Support Division
