grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/19,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,351005,2024,Technical Equipment,Field Operations Unit
2024/25,ECRET,Germany,Federal Police Regional Office Koblenz,"Roonstraße 13, 56068 Koblenz",2024/ECRET/01,9933247,2024,European Centre for Returns,European Centre for Returns
2024/97,DMD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/DMD/01 Human resources and Light technical equipment,11365187,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/142,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,80342,2024,Technical Equipment,Field Operations Unit
2024/150,ECRET,Germany,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2024/ECRET/01,32377,2024,European Centre for Returns,European Centre for Returns
2024/155,DMD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",7179133.83,2024,Human Resources,Deployment Management Division
2024/166,FOU,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,392741,2024,Technical Equipment,Field Operations Unit
2024/192,OSD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,59735,2024,Technical Equipment,NA
2024/196,RET,Germany,Federal Police Regional Office Koblenz,"Roonstraße 13, 56068 Koblenz",2024/ECRET/01,9186856,2024,European Centre for Returns,NA
2024/210,RET,Germany,Federal Office for Migration and Refugees BAMF,"Frankenstr. 210, 90461 Nürnberg, Germany",2024/ECRET/01,129402,2024,European Centre for Returns,NA
2024/220,OSD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,400262.73,2024,Technical Equipment,NA
2024/252,OSD,Germany,German Federal Police,"Heinrich-Mann-Allee 103, Haus 44, 14473 Potsdam, Germany",2024/FOU/01/Heavy Technical Equipment,48735,2024,Technical Equipment,NA
