grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/22,ECRET,Finland,Finnish National Police Board,"Asemapäällikönkatu 14, 00521 Helsinki, Finland",2024/ECRET/01,202838.3,2024,European Centre for Returns,European Centre for Returns
2024/34,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2024/ECRET/01,32231,2024,European Centre for Returns,European Centre for Returns
2024/62,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/DMD/01 Human resources and Light technical equipment,1561545,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/92,CGS,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/CGS/01 Finnish Presidency 2024 of the Baltic Sea Region Border Control Cooperation (BSRBCC),89431.06,2024,Finnish Presidency 2024 of the Baltic Sea Region Border Control Cooperation (BSRBCC),Coast Guard Sector
2024/141,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/FOU/01/Heavy Technical Equipment,272275,2024,Technical Equipment,Field Operations Unit
2024/165,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1106968.5,2024,Human Resources,Deployment Management Division
2024/206,RET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2024/ECRET/01,67666,2024,European Centre for Returns,NA
2024/232,OSD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/FOU/01/Heavy Technical Equipment,215968,2024,Technical Equipment,NA
2024/245,OSD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",960597.75,2024,Human Resources,NA
2024/286,CGS,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",MMO/JO Baltic Sea 2024 Heavy Technical Equipment,62216,2024,Technical Equipment,Coast Guard Sector
2024/292,OSD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2024/FOU/01/Heavy Technical Equipment,51867,2024,Technical Equipment,NA
2024/333,RET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2024/ECRET/01,53672,2024,European Centre for Returns,NA
2023/15,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,173821,2023,European Centre for Returns,European Centre for Returns
2023/24,ECRET,Finland,Finnish National Police Board,"Asemapäällikönkatu 14, 00521 Helsinki, Finland",2023/ECRET/01,215381.24,2023,European Centre for Returns,European Centre for Returns
2023/91,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2023/DMD/01 Human resources and Light technical equipment,2137798,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/192,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",852701.6,2023,Human Resources,Deployment Management Division
2023/219,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",1088473.59,2023,Human Resources,Deployment Management Division
2023/268,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,168815,2023,European Centre for Returns,European Centre for Returns
2023/368,CGS,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",MMO Baltic Sea 2023/Heavy Technical Equipment,288052,2023,Technical Equipment,Coast Guard Sector
2023/399,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2023/ECRET/01,50948,2023,European Centre for Returns,European Centre for Returns
2023/449,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2023/FOU/01/Heavy Technical Equipment,204644,2023,Technical Equipment,Field Operations Unit
2022/22,ECRET,Finland,Finnish National Police Board,"Asemapäällikönkatu 14, 00521 Helsinki, Finland",2022/ECRET/01,230626.96,2022,European Centre for Returns,European Centre for Returns
2022/26,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2022/ECRET/01,200871,2022,European Centre for Returns,European Centre for Returns
2022/34,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2022/FOU/01/Heavy Technical Equipment,510838,2022,Technical Equipment,Field Operations Unit
2022/61,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2022/DMD/01 Human resources and Light technical equipment,1119898,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/163,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",604267.95,2022,Human Resources,Deployment Management Division
2022/189,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2022/ECRET/01,95015,2022,European Centre for Returns,European Centre for Returns
2022/245,DMD,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",819790.19,2022,Human Resources,Deployment Management Division
2022/331,FOU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2022/FOU/01/Heavy Technical Equipment,201127,2022,Technical Equipment,Field Operations Unit
2022/347,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2022/ECRET/01,16470,2022,European Centre for Returns,European Centre for Returns
2021/11,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2021/ECRet/01,100097,2021,European Centre for Returns,European Centre for Returns
2021/61,FDU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2021/FDU/01 Human Resources and light technical equipment,913488,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/62,FSC,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2021/FSC/01 Human resources and Light technical equipment,21228,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/63,FDU,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland",2021/FDU/01/Heavy Technical Equipment,379731,2021,Technical Equipment,Field Deployment Unit
2021/146,ECRET,Finland,Finnish National Police Board,"AsemapÃ¤Ã¤llikÃ¶nkatu 14, 00521 Helsinki, Finland",2021/ECRet/01,143553.62,2021,European Centre for Returns,European Centre for Returns
2021/162,TF Deploy,Finland,Finnish Border Guard,"Vilhonvuorenkatu 6, FIN-00131 Helsinki, Finland","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",19733.35,2021,Human Resources,Task Force Deployment Management
2021/203,ECRET,Finland,Helsinki Police Department,"Pasilanraitio 11, FI-00240 Helsinki, Finland",2021/ECRet/01,151598,2021,European Centre for Returns,European Centre for Returns
