grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/47,ECRET,Portugal,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2024/ECRET/01,5612,2024,European Centre for Returns,European Centre for Returns
2024/70,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2024/FOU/01/Heavy Technical Equipment,550533,2024,Technical Equipment,Field Operations Unit
2024/86,DMD,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2024/DMD/01 Human resources and Light technical equipment,380500,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/95,DMD,Portugal,Portuguese Navy,"Rua do Arsenal
1149-001 Lisboa
Portugal",2024/DMD/01 Human resources and Light technical equipment,56965,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/100,DMD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",54097.73,2024,Human Resources,Deployment Management Division
2024/108,DMD,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2024/DMD/01 Human resources and Light technical equipment,1013940,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/109,DMD,Portugal,National Maritime Authority,"Av. António Augusto de Aguiar, nº 20, 4º Piso, 1050-016 Lisboa – Portugal",2024/DMD/01 Human resources and Light technical equipment,760386,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/111,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2024/FOU/01/Heavy Technical Equipment,500420,2024,Technical Equipment,Field Operations Unit
2024/122,FOU,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2024/FOU/01/Heavy Technical Equipment,2424480.01,2024,Technical Equipment,Field Operations Unit
2024/183,LES,Portugal,Maritime Analysis and Operations Centre (Narcotics) – MAOC(N),"Avda. Infante Don Henrique, Lisbon, Portugal",2024/LES/01,34561,2024,2024/LES/01,Law Enforcement Sector
2024/185,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisbon, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,3248905.59,2024,Trainings standing corps,Training Unit
2024/214,RET,Portugal,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2024/ECRET/01,21061,2024,European Centre for Returns,NA
2024/223,OSD,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2024/FOU/01/Heavy Technical Equipment,477234,2024,Technical Equipment,NA
2024/228,OSD,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2024/FOU/01/Heavy Technical Equipment,335250.44,2024,Technical Equipment,NA
2024/277,OSD,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2024/FOU/01/Heavy Technical Equipment,689213,2024,Technical Equipment,NA
2024/281,OSD,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2024/FOU/01/Heavy Technical Equipment,377127,2024,Technical Equipment,NA
2024/289,OSD,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2024/FOU/01/Heavy Technical Equipment,1889531,2024,Technical Equipment,NA
2024/291,OSD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",2274613.98,2024,Human Resources,NA
2024/309,RET,Portugal,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2024/ECRET/01,8005,2024,European Centre for Returns,NA
2024/350,OSD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",901628.75,2024,Human Resources,NA
2023/1,ECRET,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,4968,2023,European Centre for Returns,European Centre for Returns
2023/43,TRU,Portugal,National Maritime Authority,"Praca do Comercio, 1100-148 Lisbon, Portugal",Actions of common interest to support the implementation of the Basic Training Programme for European Standing Corps Category 1,680468.46,2023,Trainings standing corps,Training Unit
2023/51,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,526135,2023,Technical Equipment,Field Operations Unit
2023/83,DMD,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",173557.1,2023,Human Resources,Deployment Management Division
2023/117,DMD,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/DMD/01 Human resources and Light technical equipment,545808,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/132,DMD,Portugal,National Maritime Authority,"Av. António Augusto de Aguiar, nº 20, 4º Piso, 1050-016 Lisboa – Portugal",2023/DMD/01 Human resources and Light technical equipment,199251,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/143,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/FOU/01/Heavy Technical Equipment,927227,2023,Technical Equipment,Field Operations Unit
2023/147,DMD,Portugal,Sistema de Segurança Interna - Homeland Security System,"Av. Defensores de Chaves, 6, 1049-063 Lisboa","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps ",2029229.6099999999,2023,Human Resources,Deployment Management Division
2023/152,DMD,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/DMD/01 Human resources and Light technical equipment,943072,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/153,DMD,Portugal,Portuguese Navy,"
Rua do Arsenal
1149-001 Lisboa
Portugal
",2023/DMD/01 Human resources and Light technical equipment,79394,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/194,FOU,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/FOU/01/Heavy Technical Equipment,3132409,2023,Technical Equipment,Field Operations Unit
2023/266,ECRET,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,4710,2023,European Centre for Returns,European Centre for Returns
2023/331,FOU,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/FOU/01/Heavy Technical Equipment,363988,2023,Technical Equipment,Field Operations Unit
2023/332,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,396169,2023,Technical Equipment,Field Operations Unit
2023/348,FOU,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/FOU/01/Heavy Technical Equipment,2359647,2023,Technical Equipment,Field Operations Unit
2023/352,RIU,Portugal,Escola Superior Náutica Infante D. Henrique,"Avenida Engenheiro Bonneville Franco 2770-058 Paço de Arcos, Portugal",2022/CFP/RIU/01,54073.6,2023,2022/CFP/RIU/01,Research and Innovation Unit
2023/359,FOU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/FOU/01/Heavy Technical Equipment,678903,2023,Technical Equipment,Field Operations Unit
2023/361,RIU,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",Collaboration of RPAS experts,17768.42,2023,of RPAS experts,Research and Innovation Unit
2023/407,DMD,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps ",694228.4,2023,Human Resources,Deployment Management Division
2023/410,ECRET,Portugal,Foreigners and Borders Service,"Avenida do Casal de Cabanas,  Urbanização Cabanas Golfe, nº 1, 2734-506 Barcarena",2023/ECRET/01,3816,2023,European Centre for Returns,European Centre for Returns
2023/435,IFC,Portugal,Portuguese Air Force,"Avenida da Força Aérea n.º1, Alfragide 2614-506, Portugal",2023/IFC/01,3066.36,2023,2023/IFC/01,Information Fusion Centre
2023/436,IFC,Portugal,Guarda Nacional Republicana,"Largo do Carmo, 1200-092 Lisboa",2023/IFC/01,10019.57,2023,2023/IFC/01,Information Fusion Centre
2023/437,IFC,Portugal,Maritime Police,"Praca do Comercio, 1100-148 Lisboa, Portugal",2023/IFC/01,6641.76,2023,2023/IFC/01,Information Fusion Centre
2023/453,TRU,Portugal,National Maritime Authority,"Praça do Comércio, 1100-148 Lisboa, Portugal",Engagement of technical equipment in Frontex EFS Exercise,11665.5,2023,Technical Equipment,Training Unit
2023/476,ECRET,Portugal,Polícia de Segurança Pública,"Largo da Penha de França, nº 1, 1199-010 Lisboa",2023/ECRET/01,2302,2023,European Centre for Returns,European Centre for Returns
