grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/12,ECRET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2024/ECRET/01,111431.87,2024,European Centre for Returns,European Centre for Returns
2024/46,ECRET,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway",2024/ECRET/01,44094,2024,European Centre for Returns,European Centre for Returns
2024/99,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway",2024/DMD/01 Human resources and Light technical equipment,1158491,2024,Technical Equipment & Human Resources,Deployment Management Division
2024/162,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",763528.31,2024,Human Resources,Deployment Management Division
2024/218,RET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2024/ECRET/01,320704,2024,European Centre for Returns,NA
2024/249,OSD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to Category 3 of the standing corps",575812.63,2024,Human Resources,NA
2024/330,RET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2024/ECRET/01,34385,2024,European Centre for Returns,NA
2023/22,ECRET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,202356.25,2023,European Centre for Returns,European Centre for Returns
2023/46,ECRET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,26221,2023,European Centre for Returns,European Centre for Returns
2023/103,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway",2023/DMD/01 Human resources and Light technical equipment,512304,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/221,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",276929.55,2023,Human Resources,Deployment Management Division
2023/301,ECRET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,238909,2023,European Centre for Returns,European Centre for Returns
2023/367,DMD,Norway,National Police Directorate,"P.O.Box. 2090 Vika, 0125 OSLO, Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",608122.32,2023,Human Resources,Deployment Management Division
2023/382,IFC,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/Copernicus/EUROSUR Fusion Services (EFS),38671.08,2023,Fusion Services (EFS),Information Fusion Centre
2023/454,ECRET,Norway,National Police Immigration Service,"Økernveien 11-13, Postboks 2095 Dep. 0125 Oslo, Norway",2023/ECRET/01,21737,2023,European Centre for Returns,European Centre for Returns
2022/23,ECRET,Norway,National Police Immigration Service,"Økern veien 11-13, Postbox 2095 Vika 0125 Oslo, Norway",2022/ECRET/01,191612.26,2022,European Centre for Returns,European Centre for Returns
2022/99,DMD,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo – Norway",2022/DMD/01 Human resources and Light technical equipment,367174,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/162,DMD,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo – Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",444964,2022,Human Resources,Deployment Management Division
2022/218,ECRET,Norway,National Police Immigration Service,"Økern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2022/ECRet/02,1096935,2022,European Centre for Returns,European Centre for Returns
2022/257,DMD,Norway,National Police Directorate,"Fr. Nansensvei 14-16, NO 0369 Oslo – Norway","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",230491.35,2022,Human Resources,Deployment Management Division
2022/273,ECRET,Norway,National Police Immigration Service,"Økern veien 11-13, Postbox 8102 Dep. 0032 Oslo, Norway",2022/ECRET/01,444840,2022,European Centre for Returns,European Centre for Returns
